"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2025","51.85","49.15","52.06","48.77","56.36M","5.39%"
"04/10/2025","52.78","52.10","53.24","51.46","37.99M","1.79%"
"04/11/2025","53.66","52.56","54.15","52.56","22.09M","1.67%"
"04/14/2025","54.36","54.40","54.88","54.19","19.95M","1.30%"
"04/15/2025","53.81","54.38","54.65","53.53","17.44M","-1.01%"
"04/16/2025","52.56","53.52","53.64","52.42","23.07M","-2.32%"
"04/17/2025","52.88","52.78","53.32","52.56","23.05M","0.61%"
"04/22/2025","53.82","53.16","54.29","52.76","16.76M","1.78%"
"04/23/2025","54.46","54.90","55.35","54.40","18.33M","1.19%"
"04/24/2025","55.31","54.45","55.67","54.31","19.59M","1.56%"
"04/25/2025","53.85","54.50","54.62","53.64","26.14M","-2.64%"
"04/28/2025","54.04","53.90","54.18","53.63","11.98M","0.35%"
"04/29/2025","53.84","54.21","54.34","53.84","11.79M","-0.37%"
"04/30/2025","52.86","52.60","53.25","52.21","18.74M","-1.82%"
"05/02/2025","52.80","53.26","53.56","52.55","17.11M","-0.11%"
"05/05/2025","52.96","52.90","53.08","52.73","12.15M","0.30%"
"05/06/2025","53.00","52.99","53.58","52.92","12.05M","0.08%"
"05/07/2025","52.90","53.55","53.55","52.66","11.23M","-0.19%"
"05/08/2025","52.74","52.90","53.30","52.67","15.40M","-0.30%"
"05/09/2025","52.95","53.00","53.08","52.51","15.52M","0.40%"
"05/12/2025","54.28","54.56","55.20","54.28","26.47M","2.51%"
"05/13/2025","55.17","54.49","55.43","54.13","21.17M","1.64%"
"05/14/2025","54.90","55.50","55.69","54.84","16.25M","-0.49%"
"05/15/2025","55.45","55.00","55.65","54.84","13.92M","1.00%"
"05/16/2025","55.49","55.20","55.67","54.81","18.12M","0.07%"
"05/19/2025","55.34","55.00","55.50","54.87","14.46M","-0.27%"
"05/20/2025","55.35","55.33","55.53","55.09","10.44M","0.02%"
